package_name,is_obsolete
com.viewsonic.vremote,1
earphone.mode.off.disable.headphone.audioswitch.disable,1
com.nouslogic.doorlocknonhomekit,1
com.ithink.smart,1
com.ubt.alpha1s,1
com.rangeextenderwifi6,1
com.vision.cameras.conneticut,1
com.mbl1st.nightvision.camerafilter,1
com.smartbbq.smartbbq,1
com.ev.brightlight,1
com.qingniu.HealthKeep,1
com.watermob,1
com.heartrate.heartbeatmonitor.measurement,1
apptodate.myFrequencyFREE,1
com.coveiot.android.smoh,1
com.joyride.elettrify,1
com.logiware.go1984,1
com.relaxor.a9buttonbt,1
net.sagram.hmi_modbus,1
com.smarttool.universal.tv.remote.control.forall,1
com.skyjack.trackunitgo,1
hu.tell.ecoline,1
com.haiertvirremote,1
maderski.bluetoothautoplaymusic,1
com.davidgiga1993.mixingstation.mg_wing,1
com.afaqy.snipergmtccgps,1
com.myenvi,1
com.dewertokin.okinsmartcomfort,1
com.hobo.android,1
fr.inria.es.electrosmart,1
pt.dev.diogo.clock7,1
com.terrapocket.menorah,1
com.welt,1
br.com.mfcsascar,1
de.evein.columbus.app,1
emporium.emquatier.em.ar,1
com.osfunapps.remoteforhomecast,1
com.casttotv.screenmirroring.mirroring.miracast,1
com.jhkim90.webviewjh14,1
com.linkwil.wehome,1
com.honorwastchpro.onorwasw,1
watch.moskito,1
com.technogym.mywellness.getactivecanning,1
com.ecofactor.mobileapp,1
com.kwypesoft.lanes.construction.e4,1
com.trainerize.leaphealthclubs,1
com.circular.circular,1
com.water.life,1
com.rtrk.keemple,1
com.ltrx.consoleflow,1
com.maxmedia.vivacap,1
com.senko.vue.vue3,1
com.ots.dnavibe,1
com.core.track.reader.mobile,1
com.qualcomm.ftcdriverstation,1
cc.allton.rainboweye6,1
predicta4.com,1
com.ourlaketemp.app,1
it.kumbe.innovapp20,1
com.poke.scooter,1
com.lewei.Evolio.iFly,1
com.adi.remote.phone,1
au.com.agritrack.agritracklive,1
com.proscenic.robot,1
de.bremen.btm.movalyzer,1
com.zmodo.hubbell,1
cn.ubia.xshcam,1
com.runmifit.android,1
com.casual.pedometer,1
com.vaitrix.AirForceONE,1
com.zen.zbike,1
com.tekartik.lumiapp,1
com.skplanet.weatherpong.mobile,1
vstc.BDRD.client,1
com.dynonobel.dynomobile,1
com.betteralert,1
com.votidetection.android,1
com.mystery.droneeachinee58.app,1
com.tju.android.worldwebcams,1
com.bshg.smartgrow,1
com.uhmbe.DAQCTRL,1
com.harshalattarde.castscreen,1
com.appsandroid.nikoncamera,1
com.psioapp,1
com.sd.cardivu_dev_beta,1
com.positrace.mobile,1
com.virtuino.virtuino_modbus,1
com.exposure.wheel,1
com.nagasoft.vjmobilecast,1
com.AllAc.RemoteControl,1
com.sixtyseconds,1
com.synchronize.syncauto,1
com.davidgiga1993.mixingstation.ah_sq,1
com.insta.tax,1
it.gfglobal.smartable,1
appinventor.ai_VERNON_W_HOUSE.DM32,1
com.trainerize.rivalfitnessseattle,1
com.tramigo.tramigocloud,1
com.lm.scent360,1
com.falcon.cpumonitor,1
com.Sizzapp.Sizz,1
bhskinetic.idee.com.bhskinetic,1
se.bioboards.app,1
com.cybob.wescoremote,1
com.screenmirroringapp.casttosmarttv,1
screen.mirroring.alltvapp.mirrorapp,1
com.iftechnology.guhome,1
com.agency55.greenmoov,1
com.samocatapp,1
xyz.angeldev.flux,1
com.lapetov.mqtt,1
com.intentwave.counselai,1
com.gzch.lsplat.asvisionpro,1
com.seblong.idream,1
com.dynasthetics.vitalsbridge,1
com.zzggsoft.bluetoothtvhider,1
my.fun.cam.thinkure,1
com.zeninfor.operator.yaskawa,1
com.micropower_group.get_legacy,1
com.fattuesday.led,1
com.ripenapps.bufft,1
cz.elkoep.ihcta,1
com.shareoptions.costvisit,1
by.anegin.circle_maze,1
com.mobeasyapp.app1053888386126,1
com.hzcaipu.ColorMeter,1
com.somaticvision.iFeelCoach,1
com.insprigence.DEF_Pump,1
com.vdt.alfa_one_pro,1
com.myzow.speedometer,1
